               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10651,            0.020888,            0.037054,           0.0023913,             0.60556,           0.0039251,          0.00070023,            0.062121,            0.012484,            0.024703,             0.00023,             0.00023,             0.09793
                   1,            0.091715,            0.022681,            0.035182,           0.0016303,             0.41111,           0.0049022,          0.00064169,            0.058658,            0.012176,             0.02464,          0.00045965,          0.00045965,             0.09576
                   2,            0.088232,            0.024931,            0.036741,           0.0016074,             0.38889,           0.0040827,            0.000851,            0.055962,            0.012019,            0.024515,          0.00064898,          0.00064898,            0.093549
                   3,            0.081374,            0.024438,            0.035037,           0.0014533,             0.35556,           0.0051502,          0.00086083,            0.054255,            0.011941,            0.024483,          0.00077378,          0.00077378,            0.091274
                   4,            0.081277,             0.02539,            0.035325,           0.0014748,             0.28889,           0.0040305,          0.00054374,            0.052412,            0.011877,             0.02445,          0.00081998,          0.00081998,             0.08892
                   5,            0.081501,            0.024612,            0.035837,           0.0011018,             0.22222,           0.0017151,          0.00048914,            0.052169,            0.011814,            0.024483,           0.0007865,           0.0007865,            0.086487
                   6,            0.076984,            0.024113,            0.034724,           0.0013093,             0.25556,           0.0014623,          0.00021441,            0.050721,            0.011867,            0.024425,          0.00068627,          0.00068627,            0.083986
                   7,            0.081372,            0.025395,            0.036062,            0.047606,            0.027778,           0.0080809,           0.0015339,            0.049625,            0.011934,            0.024348,           0.0005453,           0.0005453,            0.081445
                   8,            0.078683,            0.025576,            0.035379,            0.022151,            0.055556,           0.0061307,          0.00077665,            0.051527,            0.011528,            0.024448,          0.00039978,          0.00039978,              0.0789
                   9,            0.074434,            0.025556,            0.033758,            0.010948,            0.027778,           0.0026551,          0.00074813,            0.051683,            0.011461,            0.024528,          0.00029164,          0.00029164,            0.076392
